"identifier","date","rights","dc_contributor","dc_coverage","dc_creator","dc_date","dc_description","dc_format","dc_identifier","dc_language","dc_publisher","dc_relation","dc_rights","dc_source","dc_subject","dc_title","dc_type","tub_accessrights","tub_affiliation","doi"
"oai:depositonce.tu-berlin.de:11303/16357","2022-02-15T11:31:09Z","https://choosealicense.com/licenses/gpl-3.0/",3,0,0,3,2,0,2,1,0,1,1,0,6,1,1,1,4,"10.14279/depositonce-15133"
"oai:depositonce.tu-berlin.de:11303/19119","2023-06-06T13:13:30Z","https://creativecommons.org/licenses/by/4.0/",2,0,0,3,2,0,2,3,0,1,1,0,9,1,1,1,1,"10.14279/depositonce-17916"
"oai:depositonce.tu-berlin.de:11303/19110","2023-06-06T13:41:08Z","https://creativecommons.org/licenses/by/4.0/",2,0,0,3,2,0,2,3,0,1,1,0,9,1,1,1,1,"10.14279/depositonce-17907"
"oai:depositonce.tu-berlin.de:11303/7506.3","2020-10-07T07:02:09Z","https://creativecommons.org/licenses/by-sa/4.0/",5,0,0,3,2,0,2,1,0,1,1,0,3,1,1,1,4,"10.14279/depositonce-6726.3"
"oai:depositonce.tu-berlin.de:11303/20229","2023-10-16T08:05:29Z","https://creativecommons.org/licenses/by/4.0/",2,0,0,3,1,0,2,1,0,2,1,0,8,1,1,1,1,"10.14279/depositonce-19027"
"oai:depositonce.tu-berlin.de:11303/16230","2022-02-17T10:31:56Z","https://creativecommons.org/licenses/by/4.0/",1,0,0,3,1,0,2,1,0,2,1,0,13,1,1,1,4,"10.14279/depositonce-15005"
"oai:depositonce.tu-berlin.de:11303/10089","2019-11-21T11:20:08Z","http://rightsstatements.org/vocab/InC/1.0/",2,0,0,3,1,0,2,1,0,0,1,0,5,1,1,1,4,"10.14279/depositonce-9077"
"oai:depositonce.tu-berlin.de:11303/9564","2019-07-26T10:21:27Z","https://creativecommons.org/licenses/by-sa/4.0/",3,0,0,3,2,0,2,1,0,1,1,0,5,1,1,1,4,"10.14279/depositonce-8612"
"oai:depositonce.tu-berlin.de:11303/13497","2021-08-11T06:59:44Z","https://creativecommons.org/licenses/by/4.0/",1,0,0,3,1,0,2,1,0,0,1,0,5,1,1,1,4,"10.14279/depositonce-12280"
"oai:depositonce.tu-berlin.de:11303/19074","2023-06-06T12:54:52Z","https://creativecommons.org/licenses/by/4.0/",2,0,0,3,2,0,2,3,0,1,1,0,9,1,1,1,1,"10.14279/depositonce-17871"
"oai:depositonce.tu-berlin.de:11303/13012.5","2021-04-19T12:44:47Z","http://rightsstatements.org/vocab/InC/1.0/",1,0,0,3,1,0,2,2,0,0,1,0,6,1,1,1,4,"10.14279/depositonce-11807.5"
"oai:depositonce.tu-berlin.de:11303/6153.5","2020-07-07T12:27:47Z","https://creativecommons.org/licenses/by/4.0/",8,0,0,7,2,0,2,1,0,1,1,0,6,1,1,1,4,"10.14279/depositonce-5718.5"
"oai:depositonce.tu-berlin.de:11303/23189","2024-11-01T09:14:55Z","https://creativecommons.org/licenses/by/4.0/",3,0,0,3,1,0,2,1,0,0,1,0,8,1,1,1,1,"10.14279/depositonce-22003"
"oai:depositonce.tu-berlin.de:11303/23525","2024-12-13T08:25:15Z","https://creativecommons.org/licenses/by/4.0/",5,0,0,3,1,0,2,1,0,0,1,0,11,1,1,1,1,"10.14279/depositonce-22339"
