"identifier","date","rights","dc_contributor","dc_coverage","dc_creator","dc_date","dc_description","dc_format","dc_identifier","dc_language","dc_publisher","dc_relation","dc_rights","dc_source","dc_subject","dc_title","dc_type","dcterms_accessRights","dcterms_spatial","dcterms_temporal","refubium_affiliation","refubium_funding","refubium_isSupplementTo","refubium_note","refubium_resourceType","refubium_series","doi"
"oai:refubium.fu-berlin.de:fub188/40267","2023","https://creativecommons.org/licenses/by-nc-nd/4.0/",5,0,0,1,2,0,2,1,1,0,1,0,7,1,1,1,0,0,1,6,1,0,0,0,"10.17169/refubium-39987"
"oai:refubium.fu-berlin.de:fub188/41736","2024","https://creativecommons.org/public-domain/cc0/",4,0,0,1,2,0,2,1,1,0,1,0,5,2,1,1,1,1,2,1,0,0,0,0,"10.17169/refubium-41456"
"oai:refubium.fu-berlin.de:fub188/32274","2021","http://www.fu-berlin.de/sites/refubium/rechtliches/Nutzungsbedingungen",5,0,0,1,1,0,2,1,1,0,1,0,5,2,1,1,0,1,2,1,0,0,0,0,"10.17169/refubium-32001"
"oai:refubium.fu-berlin.de:fub188/45271","2024","http://www.fu-berlin.de/sites/refubium/rechtliches/Nutzungsbedingungen",1,0,0,1,4,0,2,2,1,0,1,0,7,1,1,1,0,0,2,0,0,2,0,0,"10.17169/refubium-44983"
"oai:refubium.fu-berlin.de:fub188/43138","2024","https://creativecommons.org/public-domain/cc0/",4,0,0,1,2,0,2,2,1,0,1,0,5,2,1,1,1,1,2,0,0,0,0,0,"10.17169/refubium-42854"
"oai:refubium.fu-berlin.de:fub188/41586","2023","https://creativecommons.org/public-domain/cc0/",1,0,0,1,1,0,2,1,1,0,1,0,4,1,1,1,0,0,2,1,0,1,0,0,"10.17169/refubium-41306"
"oai:refubium.fu-berlin.de:fub188/40502","2023","http://www.fu-berlin.de/sites/refubium/rechtliches/Nutzungsbedingungen",5,0,0,1,3,0,2,1,1,0,1,0,9,1,1,1,1,1,4,1,0,1,0,0,"10.17169/refubium-40223"
"oai:refubium.fu-berlin.de:fub188/36638","2022","http://www.fu-berlin.de/sites/refubium/rechtliches/Nutzungsbedingungen",4,0,0,1,1,0,2,1,0,0,1,0,2,1,1,1,0,0,1,0,0,0,0,0,"10.17169/refubium-36351"
"oai:refubium.fu-berlin.de:fub188/40314","2023","https://creativecommons.org/licenses/by/4.0/",5,0,0,1,1,0,2,1,1,0,1,0,6,1,1,1,1,1,2,1,0,0,0,0,"10.17169/refubium-40035"
"oai:refubium.fu-berlin.de:fub188/30194","2021","http://www.fu-berlin.de/sites/refubium/rechtliches/Nutzungsbedingungen",9,0,0,1,1,0,2,1,1,1,1,0,3,1,1,1,0,0,1,1,0,0,0,0,"10.17169/refubium-29935"
